"year","id","trauma","emslevel","stations","diverthours","admitrate","region","time"
2013,106010735,"0/Level III","Standby/Basic",12,79,0.153299372112309,"San Francisco Bay Area",1
2014,106010735,"0/Level III","Standby/Basic",12,168,0.153257371488214,"San Francisco Bay Area",2
2015,106010735,"0/Level III","Standby/Basic",12,94,0.0295423023578363,"San Francisco Bay Area",3
2013,106010739,"0/Level III","Standby/Basic",22,43,0.117496372869061,"San Francisco Bay Area",1
2014,106010739,"0/Level III","Standby/Basic",22,182,0.124923959329104,"San Francisco Bay Area",2
2015,106010739,"0/Level III","Standby/Basic",22,57,0.133253592987833,"San Francisco Bay Area",3
2013,106010846,"Level II/Level I","Standby/Basic",52,380,0.104487499728491,"San Francisco Bay Area",1
2014,106010846,"Level II/Level I","Standby/Basic",52,315,0.104485993657505,"San Francisco Bay Area",2
2015,106010846,"Level II/Level I","Standby/Basic",57,56,0.103706942489786,"San Francisco Bay Area",3
2013,106010856,"0/Level III","Standby/Basic",32,76,0.120031577594595,"San Francisco Bay Area",1
2013,106010937,"0/Level III","Standby/Basic",31,189,0.193332691937656,"San Francisco Bay Area",1
2014,106010937,"0/Level III","Standby/Basic",31,62,0.180346536864199,"San Francisco Bay Area",2
2015,106010937,"0/Level III","Standby/Basic",31,48,0.193561506025386,"San Francisco Bay Area",3
2013,106010967,"0/Level III","Standby/Basic",17,5,0.129631740964542,"San Francisco Bay Area",1
2014,106013619,"0/Level III","Standby/Basic",12,37,0.11988685122207,"San Francisco Bay Area",1
2014,106014050,"0/Level III","Standby/Basic",18,9,0.182344334254593,"San Francisco Bay Area",1
2015,106014050,"0/Level III","Standby/Basic",18,7,0.171418083934908,"San Francisco Bay Area",2
2013,106014233,"0/Level III","Standby/Basic",22,268,0.142909947789123,"San Francisco Bay Area",1
2014,106014233,"Level II/Level I","Standby/Basic",22,204,0.109376418262685,"San Francisco Bay Area",2
2014,106014326,"0/Level III","Standby/Basic",48,48,0.134815288661443,"San Francisco Bay Area",1
2014,106070904,"0/Level III","Standby/Basic",25,3528,0.0731253044499842,"San Francisco Bay Area",1
2014,106070988,"Level II/Level I","Standby/Basic",44,65,0.217902226302502,"San Francisco Bay Area",1
2015,106141338,"0/Level III","Standby/Basic",2,688,0.00344530577088717,"Southern San Joaquin Valley",1
2013,106150722,"0/Level III","Standby/Basic",36,55,0.127887551126217,"Southern San Joaquin Valley",1
2013,106150736,"Level II/Level I","Standby/Basic",32,11,0.0827282867184376,"Southern San Joaquin Valley",1
2013,106150761,"0/Level III","Standby/Basic",16,11,0.157724583849223,"Southern San Joaquin Valley",1
2013,106150788,"0/Level III","Standby/Basic",22,40,0.163123638192078,"Southern San Joaquin Valley",1
2013,106154101,"0/Level III","Standby/Basic",9,110,0.329147336426172,"Southern San Joaquin Valley",1
2013,106154108,"0/Level III","Standby/Basic",19,31,0.106591218185351,"Southern San Joaquin Valley",1
2013,106190017,"0/Level III","Standby/Basic",8,226,0.187065248634665,"Los Angeles County",1
2014,106190017,"0/Level III","Standby/Basic",8,311,0.211253546285594,"Los Angeles County",2
2015,106190017,"0/Level III","Standby/Basic",8,641,0.182597967216967,"Los Angeles County",3
2015,106190034,"Level II/Level I","Standby/Basic",26,305,0.0972092023220813,"Los Angeles County",1
2013,106190053,"Level II/Level I","Standby/Basic",26,1532,0.114082122195569,"Los Angeles County",1
2014,106190053,"Level II/Level I","Standby/Basic",26,2204,0.114605183955639,"Los Angeles County",2
2015,106190053,"Level II/Level I","Standby/Basic",26,955,0.121094385311817,"Los Angeles County",3
2013,106190081,"0/Level III","Standby/Basic",17,572,0.203732503888025,"Los Angeles County",1
2014,106190081,"0/Level III","Standby/Basic",16,471,0.106062684315205,"Los Angeles County",2
2015,106190081,"0/Level III","Standby/Basic",17,814,0.189630061170987,"Los Angeles County",3
2013,106190110,"0/Level III","Standby/Basic",27,185,0.251486465341887,"Los Angeles County",1
2014,106190110,"0/Level III","Standby/Basic",27,254,0.284296671147308,"Los Angeles County",2
2015,106190110,"0/Level III","Standby/Basic",17,631,0.313127958149963,"Los Angeles County",3
2013,106190125,"Level II/Level I","Standby/Basic",27,894,0.13020739133056,"Los Angeles County",1
2014,106190125,"Level II/Level I","Standby/Basic",35,1323,0.104975872162012,"Los Angeles County",2
2015,106190125,"Level II/Level I","Standby/Basic",35,1458,0.140837358706365,"Los Angeles County",3
2013,106190148,"0/Level III","Standby/Basic",44,1,0.218481465219846,"Los Angeles County",1
2014,106190148,"0/Level III","Standby/Basic",44,1,0.194732151089529,"Los Angeles County",2
