"year" "id" "county" "trauma" "totalvisits" "admit" "emslevel" "stations" "diverthours" "admitrate"
2013 106014233 "Alameda" "0" 43286 6186 "Basic" 22 268 0.142909947789123
2013 106190758 "Los Angeles" "0" 61915 8648 "Basic" 38 22 0.139675361382541
2013 106300032 "Orange" "0" 54217 5670 "Basic" 31 11 0.104579744360625
2013 106301205 "Orange" "0" 69558 10596 "Basic" 56 40 0.15233330458035
2013 106301262 "Orange" "LEVEL II" 42994 9796 "Basic" 33 392 0.227845745918035
2013 106304113 "Orange" "0" 14529 921 "Basic" 46 385 0.0633904604583936
2013 106380964 "San Francisco" "0" 24783 2068 "Basic" 10 874 0.0834442964935641
2014 106014233 "Alameda" "LEVEL II" 44068 4820 "Basic" 22 204 0.109376418262685
2014 106190758 "Los Angeles" "0" 50818 7370 "Basic" 38 91 0.145027352512889
2014 106301262 "Orange" "LEVEL II" 43440 10337 "Basic" 33 683 0.237960405156538
2014 106304113 "Orange" "0" 13632 1088 "Basic" 33 673 0.07981220657277
2014 106380964 "San Francisco" "0" 25213 2015 "Basic" 10 1157 0.0799190893586642
2015 106190758 "Los Angeles" "0" 65959 12272 "Basic" 28 287 0.186054973544171
2015 106301262 "Orange" "LEVEL II" 42174 9528 "Basic" 33 554 0.225921183667663
2015 106304113 "Orange" "0" 13090 1089 "Basic" 45 602 0.0831932773109244
2015 106380964 "San Francisco" "0" 26030 2222 "Basic" 12 1433 0.0853630426431041
2014 106190587 "Los Angeles" "0" 14513 4876 "Basic" 7 217 0.335974643423138
2013 106190522 "Los Angeles" "0" 29945 2800 "Basic" 15 643 0.0935047587243279
2014 106014050 "Alameda" "0" 30755 5608 "Basic" 18 9 0.182344334254593
2013 106301340 "Orange" "0" 80655 10921 "Basic" 53 17 0.135403880726551
2013 106380933 "San Francisco" "0" 14395 1636 "Basic" 11 356 0.113650573115665
2013 106190017 "Los Angeles" "0" 17395 3254 "Basic" 8 226 0.187065248634665
2013 106190568 "Los Angeles" "LEVEL II" 58122 11891 "Basic" 25 960 0.204586903410068
2013 106430763 "Santa Clara" "0" 43780 6820 "Basic" 28 254 0.155778894472362
2014 106190631 "Los Angeles" "0" 76411 11764 "Basic" 61 8 0.153956891023544
2013 106010739 "Alameda" "0" 44112 5183 "Basic" 22 43 0.117496372869061
2013 106190524 "Los Angeles" "0" 19803 5706 "Basic" 8 56 0.288138160884714
2014 106190256 "Los Angeles" "0" 13835 1761 "Basic" 8 2 0.127285869172389
2013 106430705 "Santa Clara" "LEVEL II" 62680 9551 "Basic" 33 152 0.152377153797064
2014 106301098 "Orange" "0" 42877 8096 "Basic" 21 184 0.188819180446393
2013 106350784 "San Benito" "0" 16573 1559 "Basic" 18 2 0.0940686659023713
2014 106190756 "Los Angeles" "0" 29625 6916 "Basic" 27 1084 0.233451476793249
2014 106190517 "Los Angeles" "0" 28888 6466 "Basic" 15 218 0.223829963998892
2014 106190385 "Los Angeles" "LEVEL II" 90426 8844 "Basic" 32 512 0.097803729015991
2013 106381154 "San Francisco" "0" 40099 10324 "Basic" 33 807 0.257462779620439
2014 106431506 "Santa Clara" "0" 56447 5833 "Basic" 28 101 0.103335872588446
2014 106190240 "Los Angeles" "0" 51463 6295 "Basic" 14 1352 0.122320890737034
2013 106190159 "Los Angeles" "0" 11689 2212 "Basic" 8 75 0.189237744888357
2013 106010937 "Alameda" "0" 41576 8038 "Basic" 31 189 0.193332691937656
2014 106010937 "Alameda" "0" 44786 8077 "Basic" 31 62 0.180346536864199
2013 106190431 "Los Angeles" "0" 57032 6532 "Basic" 37 463 0.11453219245336
2013 106214034 "Marin" "0" 14337 1448 "Basic" 9 124 0.100997419264839
2014 106190812 "Los Angeles" "0" 61819 7923 "Basic" 27 341 0.128164480175998
2013 106370658 "San Diego" "0" 49007 7427 "Basic" 24 228 0.151549778603057
2014 106190696 "Los Angeles" "0" 13642 2603 "Basic" 7 203 0.190807799442897
2014 106196035 "Los Angeles" "0" 78219 7283 "Basic" 40 3013 0.0931103696032933
2014 106196403 "Los Angeles" "0" 95144 10141 "Basic" 63 1612 0.106585806777096
2013 106301325 "Orange" "0" 14341 1795 "Basic" 10 76 0.125165609092811
2013 106391042 "San Joaquin" "0" 53870 9371 "Basic" 32 468 0.173955819565621
2013 106190298 "Los Angeles" "0" 27352 3146 "Basic" 23 108 0.115019011406844
2013 106191231 "Los Angeles" "0" 59340 8663 "Basic" 51 87 0.145989214694978
2013 106154108 "Kern" "0" 41176 4389 "Basic" 19 31 0.106591218185351
2013 106380960 "San Francisco" "0" 31666 3720 "Basic" 19 544 0.117476157392787
2014 106434153 "Santa Clara" "0" 67031 8002 "Basic" 32 21 0.119377601408304
2013 106190534 "Los Angeles" "0" 24201 4212 "Basic" 16 172 0.174042394942358
2014 106190687 "Los Angeles" "0" 41865 6995 "Basic" 21 660 0.167084676937776
2014 106370714 "San Diego" "0" 109262 20465 "Basic" 62 2640 0.187302081235928
2014 106370875 "San Diego" "0" 63356 10081 "Basic" 44 1025 0.15911673716775
2013 106301258 "Orange" "0" 21375 1902 "Basic" 10 220 0.0889824561403509
2013 106444013 "Santa Cruz" "0" 28145 2174 "Basic" 14 10 0.0772428495292237
2013 106301248 "Orange" "0" 30312 6232 "Basic" 20 492 0.205595143837424
2013 106300225 "Orange" "0" 29184 7234 "Basic" 14 768 0.247875548245614
2014 106191231 "Los Angeles" "0" 57059 8328 "Basic" 51 1637 0.145954187770553
2014 106301279 "Orange" "LEVEL I" 44380 11122 "Comprehensive" 36 320 0.250608382154123
2014 106190636 "Los Angeles" "0" 59571 9514 "Basic" 30 359 0.15970858303537
2013 106301098 "Orange" "0" 41331 8761 "Basic" 21 362 0.211971643560524
2013 106190434 "Los Angeles" "0" 64056 5761 "Basic" 53 871 0.0899369301860872
2014 106190432 "Los Angeles" "0" 59309 4630 "Basic" 34 1448 0.0780657235832673
2013 106370744 "San Diego" "LEVEL I" 60085 14254 "Basic" 52 62 0.237230589997504
2014 106301566 "Orange" "LEVEL II" 22321 3900 "Basic" 20 604 0.17472335468841
2014 106190148 "Los Angeles" "0" 65074 12672 "Basic" 44 1 0.194732151089529
2014 106391042 "San Joaquin" "0" 58759 10023 "Basic" 36 777 0.17057812420225
2014 106190673 "Los Angeles" "0" 16848 3061 "Basic" 8 3 0.181683285849953
2014 106391056 "San Joaquin" "0" 35017 2857 "Basic" 14 38 0.0815889425136362
2013 106010846 "Alameda" "LEVEL II" 92078 9621 "Basic" 52 380 0.104487499728491
2013 106150736 "Kern" "LEVEL II" 47517 3931 "Basic" 32 11 0.0827282867184376
2013 106560501 "Ventura" "0" 7793 659 "Standby" 6 9 0.0845630694212755
2014 106190524 "Los Angeles" "0" 19580 5346 "Basic" 8 21 0.273033707865169
2013 106190878 "Los Angeles" "0" 51892 8206 "Basic" 28 2 0.158136128883065
2013 106504042 "Stanislaus" "0" 36615 3756 "Basic" 37 1 0.102580909463335
2013 106190636 "Los Angeles" "0" 53911 8779 "Basic" 30 307 0.162842462577211
2014 106190568 "Los Angeles" "LEVEL II" 56767 9673 "Basic" 25 837 0.170398294783941
2014 106370977 "San Diego" "0" 20096 2801 "Basic" 17 563 0.13938097133758
2014 106301258 "Orange" "0" 21442 1739 "Basic" 10 158 0.0811025090943009
2014 106190522 "Los Angeles" "0" 36183 5363 "Basic" 15 495 0.148218776773623
2014 106300225 "Orange" "0" 31067 7203 "Basic" 14 161 0.231853735474941
2013 106341006 "Sacramento" "LEVEL I" 59967 14788 "Comprehensive" 65 21 0.246602297930528
2014 106380939 "San Francisco" "LEVEL I" 73120 15159 "Comprehensive" 24 3583 0.207316739606127
2014 106392287 "San Joaquin" "0" 32073 2609 "Basic" 11 7 0.0813456801671188
2013 106430779 "Santa Clara" "0" 47330 7717 "Basic" 29 29 0.163046693429115
2013 106191450 "Los Angeles" "0" 39080 4672 "Basic" 27 570 0.119549641760491
2013 106430837 "Santa Clara" "0" 48229 8503 "Basic" 23 180 0.176304712932053
2014 106190382 "Los Angeles" "0" 34482 6041 "Basic" 20 125 0.175192854242793
2014 106370658 "San Diego" "0" 52134 7645 "Basic" 24 249 0.146641347297349
2014 106190570 "Los Angeles" "0" 7217 2301 "Basic" 4 1103 0.318830539005127
2013 106370977 "San Diego" "0" 21744 2957 "Basic" 20 312 0.135991537895511
2014 106190197 "Los Angeles" "0" 37015 3293 "Basic" 14 224 0.0889639335404566
2013 106390923 "San Joaquin" "0" 33370 5043 "Basic" 28 96 0.151123763859754
2014 106190110 "Los Angeles" "0" 25294 7191 "Basic" 27 254 0.284296671147308
2013 106190812 "Los Angeles" "0" 61797 7808 "Basic" 27 204 0.12634917552632
2013 106400548 "San Luis Obispo" "0" 32514 3466 "Basic" 23 16 0.106600233745463
2013 106370652 "San Diego" "0" 24219 4552 "Basic" 16 689 0.187951608241463
2014 106370782 "San Diego" "LEVEL I" 43142 7388 "Comprehensive" 36 1091 0.171248435399379
2013 106301342 "Orange" "0" 63436 7660 "Basic" 36 19 0.120751623683713
2013 106394009 "San Joaquin" "0" 23294 919 "Basic" 10 5 0.0394522194556538
2013 106196405 "Los Angeles" "0" 52634 6412 "Basic" 35 265 0.121822396169776
2013 106420493 "Santa Barbara" "0" 66684 5682 "Basic" 32 4 0.0852078459600504
2013 106301279 "Orange" "LEVEL I" 41426 10769 "Comprehensive" 36 826 0.259957514604355
2014 106380929 "San Francisco" "0" 27430 7490 "Basic" 19 296 0.273058694859643
2014 106301140 "Orange" "0" 9028 1010 "Basic" 8 5 0.111874169251218
2014 106301340 "Orange" "0" 77950 9701 "Basic" 53 434 0.124451571520205
2014 106374141 "San Diego" "0" 24845 4952 "Basic" 32 560 0.199315757697726
2013 106370759 "San Diego" "0" 32705 6584 "Basic" 20 4 0.201314783672221
2014 106374382 "San Diego" "0" 51582 9376 "Basic" 52 848 0.181768834089411
2013 106304045 "Orange" "0" 29425 4317 "Basic" 14 114 0.146711979609176
2014 106190400 "Los Angeles" "LEVEL II" 60721 14565 "Basic" 50 385 0.239867591113453
2014 106190159 "Los Angeles" "0" 12952 2741 "Basic" 8 1096 0.211627547869055
2013 106190432 "Los Angeles" "0" 55711 5937 "Basic" 34 1636 0.106567823230601
2013 106190521 "Los Angeles" "0" 35389 7624 "Basic" 10 97 0.215434174460991
2013 106190796 "Los Angeles" "LEVEL I" 42016 8907 "Comprehensive" 33 4 0.211990670220868
2013 106190280 "Los Angeles" "0" 9374 1897 "Basic" 8 4 0.202368252613612
2013 106190818 "Los Angeles" "0" 20119 3364 "Basic" 13 797 0.167205129479596
2014 106370744 "San Diego" "LEVEL I" 65134 13907 "Basic" 52 34 0.21351367949151
2014 106300032 "Orange" "0" 69537 5845 "Basic" 31 2 0.0840559702029136
2014 106190555 "Los Angeles" "LEVEL I" 87061 21228 "Basic" 51 97 0.24382903940915
2014 106240924 "Merced" "0" 30727 773 "Basic" 9 7 0.0251570280209588
2013 106560529 "Ventura" "0" 49211 5544 "Basic" 20 179 0.112657739123367
2014 106190392 "Los Angeles" "0" 34291 4917 "Basic" 12 1614 0.143390393980928
2014 106301175 "Orange" "0" 45920 5881 "Basic" 25 50 0.128070557491289
2013 106382715 "San Francisco" "0" 6121 1442 "Standby" 5 1663 0.235582421173011
2014 106304045 "Orange" "0" 31707 4141 "Basic" 14 111 0.130602075251522
2014 106190949 "Los Angeles" "LEVEL II" 67566 9825 "Basic" 36 259 0.145413373590267
2014 106370694 "San Diego" "LEVEL II" 81005 13412 "Basic" 52 176 0.165570026541572
2013 106560508 "Ventura" "0" 19589 2423 "Basic" 14 134 0.123691867885038
2013 106190352 "Los Angeles" "0" 17321 1937 "Basic" 9 203 0.111829571040933
2014 106380965 "San Francisco" "0" 16990 2237 "Basic" 13 192 0.131665685697469
2013 106190500 "Los Angeles" "0" 21815 2820 "Basic" 15 584 0.129268851707541
2013 106301317 "Orange" "0" 34742 8082 "Basic" 31 308 0.232629094467791
2013 106150722 "Kern" "0" 69436 8880 "Basic" 36 55 0.127887551126217
2014 106190081 "Los Angeles" "0" 29162 3093 "Basic" 16 471 0.106062684315205
2014 106440755 "Santa Cruz" "0" 45738 8120 "Basic" 24 97 0.177532904805632
2014 106190796 "Los Angeles" "LEVEL I" 43945 8964 "Comprehensive" 33 3242 0.203982250540448
2014 106444013 "Santa Cruz" "0" 29381 2543 "Basic" 14 8 0.0865525339505122
2013 106560521 "Ventura" "0" 15466 1143 "Basic" 9 2 0.0739040475882581
2014 106304409 "Orange" "0" 57057 6769 "Basic" 36 48 0.118635750214698
2013 106190243 "Los Angeles" "0" 52376 6980 "Basic" 22 2 0.13326714525737
2014 106301188 "Orange" "0" 15493 2297 "Basic" 11 197 0.148260504744078
2013 106190315 "Los Angeles" "0" 24518 5821 "Basic" 21 522 0.237417407618892
2014 106190859 "Los Angeles" "0" 48340 6940 "Basic" 30 79 0.143566404633844
2014 106301248 "Orange" "0" 31621 5825 "Basic" 20 476 0.18421302299105
2013 106374141 "San Diego" "0" 24024 5606 "Basic" 32 364 0.233349983349983
2013 106370875 "San Diego" "0" 56862 9730 "Basic" 44 480 0.171116035313566
2014 106190243 "Los Angeles" "0" 50993 6127 "Basic" 22 879 0.12015374659267
2014 106190630 "Los Angeles" "0" 91318 8909 "Basic" 50 113 0.0975601743358374
2013 106190125 "Los Angeles" "LEVEL II" 66348 8639 "Basic" 27 894 0.13020739133056
2014 106190053 "Los Angeles" "LEVEL II" 54823 6283 "Basic" 26 2204 0.114605183955639
2014 106380960 "San Francisco" "0" 31663 3493 "Basic" 19 939 0.110318036825317
2014 106013619 "Alameda" "0" 31463 3772 "Basic" 12 37 0.11988685122207
2013 106190200 "Los Angeles" "0" 23477 4404 "Basic" 12 202 0.187587851940197
2013 106431506 "Santa Clara" "0" 53250 6105 "Basic" 28 19 0.114647887323944
2014 106301325 "Orange" "0" 14428 1630 "Basic" 10 112 0.11297477127807
2013 106301188 "Orange" "0" 15430 2493 "Basic" 11 357 0.161568373298769
2013 106150788 "Kern" "0" 71596 11679 "Basic" 22 40 0.163123638192078
2013 106380939 "San Francisco" "LEVEL I" 63280 14478 "Comprehensive" 24 3241 0.228792667509482
2013 106010856 "Alameda" "0" 54469 6538 "Basic" 32 76 0.120031577594595
2013 106190053 "Los Angeles" "LEVEL II" 56696 6468 "Basic" 26 1532 0.114082122195569
2014 106430883 "Santa Clara" "LEVEL I" 64203 12155 "Comprehensive" 24 243 0.189321371275486
2014 106381154 "San Francisco" "0" 44572 9297 "Basic" 33 1031 0.208583864309432
2014 106190754 "Los Angeles" "LEVEL II" 75222 9658 "Basic" 46 3504 0.128393289197309
2014 106430837 "Santa Clara" "0" 48950 5825 "Basic" 23 34 0.11899897854954
2014 106370771 "San Diego" "LEVEL II" 34264 7574 "Basic" 19 5 0.221048330609386
2014 106014326 "Alameda" "0" 56277 7587 "Basic" 48 48 0.134815288661443
2014 106301297 "Orange" "0" 27064 2333 "Basic" 20 2 0.0862030741945019
2013 106190949 "Los Angeles" "LEVEL II" 60823 9366 "Basic" 36 429 0.153987800667511
2013 106491064 "Sonoma" "LEVEL II" 37035 6637 "Basic" 26 4 0.179208856487107
2013 106391056 "San Joaquin" "0" 32398 2510 "Basic" 14 43 0.0774739181430952
2013 106380929 "San Francisco" "0" 27987 7873 "Basic" 19 211 0.2813091792618
2013 106190631 "Los Angeles" "0" 70719 11186 "Basic" 61 156 0.158175313564954
2013 106560492 "Ventura" "LEVEL II" 41483 8292 "Basic" 23 30 0.199889111202179
2014 106190429 "Los Angeles" "0" 66365 8257 "Basic" 45 3349 0.124417991411135
2013 106190470 "Los Angeles" "0" 68300 12178 "Basic" 29 359 0.178301610541728
2013 106190413 "Los Angeles" "0" 21836 5669 "Basic" 12 116 0.259617145997435
2013 106190859 "Los Angeles" "0" 42280 6219 "Basic" 30 163 0.147090823084201
2013 106190630 "Los Angeles" "0" 84395 9866 "Basic" 50 277 0.116902660110196
2014 106400548 "San Luis Obispo" "0" 34201 3112 "Basic" 23 3 0.0909914914768574
2014 106190323 "Los Angeles" "0" 52097 12553 "Basic" 36 889 0.240954373572375
2013 106190382 "Los Angeles" "0" 33456 6883 "Basic" 20 123 0.205732902917264
2014 106190878 "Los Angeles" "0" 56221 8475 "Basic" 28 22 0.150744383771189
2014 106190818 "Los Angeles" "0" 22078 3653 "Basic" 13 290 0.165458827792373
2014 106070988 "Contra Costa" "LEVEL II" 43570 9494 "Basic" 44 65 0.217902226302502
2013 106560525 "Ventura" "0" 30441 4741 "Basic" 10 10 0.155743898032259
2013 106190323 "Los Angeles" "0" 48310 13772 "Basic" 36 515 0.285075553715587
2013 106301175 "Orange" "0" 41118 10119 "Basic" 25 387 0.246096600029184
2014 106190525 "Los Angeles" "LEVEL II" 98421 15751 "Basic" 53 1709 0.160036983976997
